Title,Course,Desc,Date,Status
Pengenalan Kalimat Dasar,Minna no Nihongo 1,BAB 01,"April 25, 2025",Done
Kalimat Tanya dan Penunjuk,Minna no Nihongo 1,BAB 02,"April 25, 2025",Done
Kata petunjuk tempat dan keberadaan,Minna no Nihongo 1,BAB 03,"April 25, 2025",Done
Waktu dan Aktifitas,Minna no Nihongo 1,BAB 04,"April 25, 2025",Done
Kalimat dengan Kata Kerja,Minna no Nihongo 1,BAB 05,"April 26, 2025",Done
Kata Kerja Transistif dan keberadaan,Minna no Nihongo 1,BAB 06,"April 26, 2025",Done
"Alat, Penerima, dan Keberadaan",Minna no Nihongo 1,BAB 07,"April 26, 2025",Done
Kata Sifat dan Perbandingan,Minna no Nihongo 1,BAB 08,"April 26, 2025",Done
"Suka, Bisa, dan Keharusan",Minna no Nihongo 1,BAB 09,"April 26, 2025",Done
Keberadaan dan Posisi,Minna no Nihongo 1,BAB 10,"April 27, 2025",Done
Penghitungan dan Durasi,Minna no Nihongo 1,BAB 11,"April 27, 2025",Done
Bentuk Lampau dan Perbandingan dengan Kata Sifat,Minna no Nihongo 1,BAB 12,"April 27, 2025",Done
Keinginan dan Tindakan Berurutan,Minna no Nihongo 1,BAB 13,"April 27, 2025",Done
Konjugasi Kata Kerja dan Bentuk て,Minna no Nihongo 1,Bab 14,"April 29, 2025",Done
Bentuk て dan Larangan,Minna no Nihongo 1,Bab 15,"April 29, 2025",Done
"Bentuk て, Kata Sifat, dan Hubungan Kalimat",Minna no Nihongo 1,BAB 16,"May 1, 2025",Done
Bentuk ない dan Penggunaan Waktu,Minna no Nihongo 1,Bab 17,"May 1, 2025",Not started
Bentuk Kamus dan Pola Kalimat,Minna no Nihongo 1,BAB 18,"May 4, 2025",Done
Bentuk た dan Penjelasan Kondisi,Minna no Nihongo 1,BAB 19,"May 4, 2025",Done
Gaya Sopan dan Gaya Biasa,Minna no Nihongo 1,BAB 20,"May 4, 2025",Done
Bentuk Ingin dan Pengandaian,Minna no Nihongo 1,BAB 21,"May 7, 2025",Not started
"Modifikasi Kata Benda dan Penggunaan Waktu ",Minna no Nihongo 1,BAB 22,"May 7, 2025",Not started
Ekspresi Waktu dan Modifikasi,Minna no Nihongo 1,BAB 23,"May 7, 2025",Done
" Permintaan dan Pemberian",Minna no Nihongo 1,BAB 24,"May 8, 2025",Not started
Kondisi dan Penekanan,Minna no Nihongo 1,BAB 25,"May 8, 2025",Not started
Mengungkapkan Perasaan dan Meminta Izin,Minna no Nihongo 2,BAB 26,"May 18, 2025",Not started
Menyatakan Kemampuan Melakukan Sesuatu,Minna no Nihongo 2,BAB 27,"May 18, 2025",Not started
Menjelaskan Aktivitas dan Alasan secara Berurutan,Minna no Nihongo 2,BAB 28,"May 25, 2025",Not started
"Menyatakan Kegiatan Berlangsung, Kejadian yang Tak Disengaja, dan Tempat Tak Diketahui",Minna no Nihongo 2,BAB 29,"May 25, 2025",Not started
"Menyatakan Keadaan Tindakan, Persiapan, dan Keberlangsungan Sesuatu",Minna no Nihongo 2,BAB 30,"May 26, 2025",Not started
"Menyatakan Niat, Rencana, dan Aksi yang Belum Dilakukan",Minna no Nihongo 2,BAB 31,"May 26, 2025",Not started
"Menyampaikan Saran, Kemungkinan, dan Kekhawatiran",Minna no Nihongo 2,BAB 32,"May 27, 2025",Not started
"Mengungkapkan Perintah, Larangan, dan Penyampaian Ucapan Tidak Langsung",Minna no Nihongo 2,BAB 33,"May 27, 2025",Not started
Urutan dan Hubungan Kegiatan,Minna no Nihongo 2,BAB 34,"May 29, 2025",Not started
Kalimat Pengandaian dan Tingkat Perbandingan,Minna no Nihongo 2,BAB 35,"June 7, 2025",Not started
Usaha dan Tujuan – Menyatakan Maksud dan Perubahan,Minna no Nihongo 2,BAB 36,"June 7, 2025",Not started
Kalimat Pasif dan Proses Pembuatan,Minna no Nihongo 2,BAB 37,"June 7, 2025",Not started
" Penggunaan 〜の sebagai Nominalisasi dan Ekspresi Waktu",Minna no Nihongo 2,BAB 38,"June 8, 2025",Not started
Menyambung Kalimat dan Menyatakan Penyebab,Minna no Nihongo 2,BAB 39,"June 8, 2025",Not started
"Bertanya secara Tidak Langsung, Mencoba, dan Spekulasi ",Minna no Nihongo 2,BAB 40,"June 8, 2025",Not started
Memberi dan Menerima (Benda dan Tindakan),Minna no Nihongo 2,BAB 41,"June 8, 2025",Not started
"Tujuan, Kuantitas, dan Penekanan",Minna no Nihongo 2,BAB 42,"June 9, 2025",Not started
Menyampaikan Kesan dan Arah Gerakan,Minna no Nihongo 2,BAB 43,"June 9, 2025",Not started
"Ekspresi Tingkat, Kemudahan, Perubahan, dan Tujuan",Minna no Nihongo 2,BAB 44,"June 10, 2025",Not started
Menyampaikan Keadaan Khusus dan Ketidaksesuaian Harapan,Minna no Nihongo 2,BAB 45,"June 10, 2025",Not started
Menjelaskan Waktu dan Perkiraan Situasi,Minna no Nihongo 2,BAB 46,"June 10, 2025",Not started
"Menyampaikan Kesan, Dugaan, dan Persepsi",Minna no Nihongo 2,BAB 47,"June 10, 2025",Not started
"Menyuruh dan Meminta Melakukan Sesuatu ",Minna no Nihongo 2,BAB 48,"June 10, 2025",Not started
Menggunakan Bahasa Hormat,Minna no Nihongo 2,BAB 49,,Not started
Mengungkapkan Kerendahan Hati dan Kesopanan dengan 謙譲語 dan 丁寧語,Minna no Nihongo 2,BAB 50,,Not started
DAFTAR ISI MATERI,Minna no Nihongo 1,,,Done
,Minna no Nihongo 1,,,Not started
Fungsi Partikel,Notes,,,Not started
Catatan Singkat,Notes,,,Not started
Tabel Volitional Form (意向形),Notes,,,Not started
Tabel Bentuk Perintah dan Larangan (命令形・禁止形),Notes,,,Not started
Perbedaan pola kalimat のは dengan kalimat biasa,Notes,,,Not started
" Kata Kerja Transitif dan Intransitif ",Notes,,,Not started
Latihan Soal + Mempelajari ulang BAB 1 - 13,Tracking,,"April 28, 2025",Done
Mempelajari BAB 14 -15,Tracking,,"April 29, 2025",Done
Mempelajari BAB 16-17,Tracking,,"May 1, 2025",Done
Mempelajari BAB 18-20,Tracking,,"May 4, 2025",Done
Mempelajari BAB 21-23,Tracking,,"May 7, 2025",Done
Mempelajari BAB 24-25,Tracking,,"May 8, 2025",Done
Latihan soal,Tracking,,"May 15, 2025",Done
Mempelajari BAB 26,Tracking,,"May 19, 2025",Done
Latihan Soal BAB 1 - 13,Latihan Soal,,"April 27, 2025",Done
Latihan Soal N5,Latihan Soal,,,Not started
,Latihan Soal,,,Not started
,,,,Not started
,,,,Not started
UJIAN JLPT N4,,,"July 6, 2025",Not started